,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
453,41,Female,College,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
454,22,Male,High school,"$25,000 or less",Excellent,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
455,27,Male,College,"$100,000 or more",Excellent,Once per week,1,Purple – Very Unhealthy,Maroon – Hazardous
456,47,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
457,28,Male,High school graduate,"Upto to $99,999",Good,Common,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
458,60,Male,College,"Upto to $99,999",Good,Daily,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
459,59,Male,Associates degree,"$100,000 or more",Excellent,Once per week,2,Yellow – Moderate,Red – Unhealthy
460,65,Female,Associates degree,"$100,000 or more",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
461,20,Male,High school,"Upto to $49,999",Poor,No Response,6,Red – Unhealthy,Purple – Very Unhealthy
462,27,Male,High school graduate,"$25,000 or less",Fair,Once per week,3,Red – Unhealthy,Red – Unhealthy
463,53,Male,Associates degree,"Upto to $74,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
464,22,Male,High school,"$25,000 or less",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
465,25,Male,High school graduate,"Upto to $99,999",Good,Daily,1,Not familiar,Not familiar
466,18,Female,8th grade or less,"$100,000 or more",Good,No Response,4,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
467,19,Male,8th grade or less,"Upto to $49,999",Excellent,A few times per week,4,Yellow – Moderate,Yellow – Moderate
468,18,Male,8th grade or less,"Upto to $49,999",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
469,38,Male,College,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
470,31,Male,High school,"$25,000 or less",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
471,71,Female,Associates degree,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
472,54,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
473,21,Male,8th grade or less,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
474,21,Male,High school,"Upto to $74,999",Excellent,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
475,39,Male,College,"Upto to $74,999",Good,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
476,50,Female,Associates degree,"Upto to $99,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
477,27,Female,High school,"$25,000 or less",Excellent,A few times per week,1,Purple – Very Unhealthy,Red – Unhealthy
478,22,Male,High school,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
479,38,Female,College,"Upto to $49,999",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
480,18,Female,8th grade or less,"Upto to $99,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
481,19,Male,8th grade or less,"$100,000 or more",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
482,24,Female,8th grade or less,"Upto to $74,999",Excellent,No Response,1,Maroon – Hazardous,Maroon – Hazardous
483,56,Male,College,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
484,20,Female,High school,"Upto to $74,999",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
485,39,Female,High school,"Upto to $74,999",Excellent,No Response,1,Red – Unhealthy,Red – Unhealthy
486,35,Male,Associates degree,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Red – Unhealthy
487,19,Male,8th grade or less,"$100,000 or more",Excellent,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
488,22,Male,High school,"$25,000 or less",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
489,18,Male,8th grade or less,"Upto to $74,999",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
490,57,Male,College,"Upto to $99,999",Good,No Response,1,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
491,58,Male,College,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
492,74,Female,Associates degree,"$25,000 or less",Fair,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
493,21,Male,High school,"$25,000 or less",Fair,No Response,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
494,56,Male,College,"Upto to $74,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
495,20,Female,High school,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
496,22,Female,High school,"$25,000 or less",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
497,58,Male,Associates degree,"Upto to $74,999",Good,A few times per week,6,Yellow – Moderate,Yellow – Moderate
498,66,Female,Associates degree,"$100,000 or more",Fair,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
499,59,Female,Associates degree,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
500,39,Male,High school,"$25,000 or less",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
501,19,Male,8th grade or less,"Upto to $99,999",Good,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
502,31,Female,High school graduate,"Upto to $99,999",Excellent,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
503,52,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
504,39,Female,College,"Upto to $49,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
505,52,Male,College,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
506,44,Male,College,"Upto to $74,999",Good,Once per week,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
507,20,Male,8th grade or less,"Upto to $49,999",Good,Daily,3,Red – Unhealthy,Red – Unhealthy
508,32,Male,Associates degree,"$100,000 or more",Good,A few times per week,4,Yellow – Moderate,Yellow – Moderate
509,39,Male,High school graduate,"$100,000 or more",Good,A few times per week,4,Red – Unhealthy,Red – Unhealthy
510,23,Female,High school graduate,"$25,000 or less",Good,A few times per week,5,Red – Unhealthy,Red – Unhealthy
511,28,Male,High school graduate,"Upto to $49,999",Excellent,A few times per week,1,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
512,22,Male,High school,"Upto to $49,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
513,23,Others,High school,"$25,000 or less",Good,010100,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
514,18,Male,8th grade or less,"Upto to $99,999",Good,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
515,25,Male,College,"Upto to $99,999",Poor,Once per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
516,20,Male,High school,"$25,000 or less",Fair,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
517,45,Male,High school graduate,"$100,000 or more",Excellent,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
518,23,Female,High school,"$25,000 or less",Fair,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
519,26,Female,High school graduate,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
520,24,Male,8th grade or less,"$25,000 or less",Fair,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
521,50,Female,College,"Upto to $49,999",Good,A few times per week,2,Red – Unhealthy,Not familiar
522,18,Male,8th grade or less,"$100,000 or more",Excellent,No Response,1,Red – Unhealthy,Red – Unhealthy
523,57,Female,College,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
524,36,Male,High school graduate,"Upto to $99,999",Good,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
525,33,Male,Associates degree,"Upto to $74,999",Good,No Response,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
526,30,Male,College,"Upto to $49,999",Good,A few times per week,1,Not familiar,Not familiar
527,43,Female,College,"Upto to $74,999",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
528,41,Male,Associates degree,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
529,32,Female,College,"$100,000 or more",Good,A few times per week,6,Red – Unhealthy,Red – Unhealthy
530,29,Male,High school,"$25,000 or less",Fair,Common,6,Red – Unhealthy,Purple – Very Unhealthy
531,40,Female,Associates degree,No Response,Good,Common,2,Purple – Very Unhealthy,Maroon – Hazardous
532,21,Male,High school,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Maroon – Hazardous
533,45,Male,High school graduate,"$25,000 or less",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
534,32,Male,Associates degree,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
535,21,Male,High school,"Upto to $74,999",Excellent,A few times per week,6,Red – Unhealthy,Red – Unhealthy
536,45,Female,Associates degree,"Upto to $74,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
537,29,Female,College,"Upto to $74,999",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
538,53,Male,College,"Upto to $74,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
539,24,Male,High school,"Upto to $49,999",Good,A few times per week,6,Purple – Very Unhealthy,Purple – Very Unhealthy
540,21,Male,High school,"Upto to $74,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
541,51,Female,College,"$100,000 or more",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
542,61,Male,College,"Upto to $74,999",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
543,24,Male,High school,"Upto to $49,999",Good,Once per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
544,33,Male,Associates degree,"Upto to $99,999",Good,A few times per week,4,Red – Unhealthy,Purple – Very Unhealthy
545,33,Male,Associates degree,"Upto to $99,999",Good,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
546,63,Male,Associates degree,"Upto to $74,999",Fair,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
547,18,Male,8th grade or less,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Yellow – Moderate
548,20,Male,High school,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
549,26,Male,High school,"Upto to $49,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
550,27,Male,High school graduate,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
551,31,Female,College,"Upto to $49,999",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
552,60,Male,Associates degree,"Upto to $74,999",Fair,No Response,1,Red – Unhealthy,Red – Unhealthy
553,39,Female,College,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
554,49,Male,College,"Upto to $99,999",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
555,26,Male,High school,"$25,000 or less",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
556,48,Male,College,"Upto to $74,999",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
557,48,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
558,22,Male,High school,"Upto to $74,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
559,19,Male,High school,"$100,000 or more",Fair,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
560,19,Male,8th grade or less,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
561,54,Female,College,"Upto to $49,999",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
562,21,Male,High school,"$25,000 or less",Excellent,Common,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
563,65,Female,Associates degree,"$100,000 or more",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
564,60,Male,College,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
565,27,Male,High school,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
566,26,Male,High school graduate,"$25,000 or less",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
567,58,Male,College,"Upto to $49,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
568,41,Male,College,No Response,Good,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
569,24,Female,College,"Upto to $49,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
570,62,Female,Associates degree,"Upto to $99,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
571,55,Female,College,"Upto to $99,999",Excellent,A few times per week,5,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
572,27,Male,High school graduate,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
573,59,Female,College,"Upto to $74,999",Fair,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
574,30,Male,College,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
575,23,Male,High school,"$25,000 or less",Good,Once per week,2,Yellow – Moderate,Red – Unhealthy
576,19,Female,High school,"Upto to $74,999",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
577,24,Male,8th grade or less,"$25,000 or less",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
578,22,Male,High school graduate,"Upto to $99,999",Good,No Response,2,Purple – Very Unhealthy,Maroon – Hazardous
579,49,Male,College,"$100,000 or more",Excellent,A few times per week,5,Yellow – Moderate,Yellow – Moderate
580,20,Male,High school,"$25,000 or less",Good,No Response,2,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
581,23,Male,College,"Upto to $49,999",Good,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
582,20,Male,High school,"Upto to $49,999",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
583,24,Male,High school graduate,"Upto to $74,999",Good,Daily,6,Red – Unhealthy,Purple – Very Unhealthy
584,62,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
585,56,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
586,24,Male,College,"Upto to $99,999",Good,Once per week,1,Red – Unhealthy,Red – Unhealthy
587,29,Male,College,"Upto to $49,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
588,32,Male,Associates degree,"Upto to $99,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
589,23,Female,High school,"Upto to $49,999",Good,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
590,66,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
591,60,Male,College,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
592,25,Male,College,"Upto to $49,999",Good,Daily,3,Red – Unhealthy,Red – Unhealthy
593,22,Male,High school,"Upto to $49,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
594,44,Female,High school graduate,"Upto to $74,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
595,18,Female,8th grade or less,"$25,000 or less",Good,A few times per week,1,Red – Unhealthy,Red – Unhealthy
596,20,Female,High school,"$25,000 or less",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
597,37,Male,College,"Upto to $49,999",Poor,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
598,46,Male,College,"Upto to $99,999",Good,No Response,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
599,47,Female,Associates degree,"$100,000 or more",Good,A few times per week,6,Yellow – Moderate,Red – Unhealthy
600,25,Male,College,"$25,000 or less",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
601,42,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
602,39,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
604,61,Male,College,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
605,52,Male,College,"$25,000 or less",Good,Daily,6,Purple – Very Unhealthy,Purple – Very Unhealthy
606,21,Male,High school,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
607,60,Female,Associates degree,"$100,000 or more",Excellent,Once per week,4,Red – Unhealthy,Purple – Very Unhealthy
608,44,Male,High school,"$25,000 or less",Excellent,No Response,1,Purple – Very Unhealthy,Red – Unhealthy
609,35,Male,High school,"Upto to $49,999",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
610,21,Male,High school,"$25,000 or less",Fair,No Response,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
611,30,Male,College,"Upto to $49,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
612,19,Male,8th grade or less,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
613,48,Male,Associates degree,"$100,000 or more",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
614,19,Male,8th grade or less,"Upto to $99,999",Excellent,A few times per week,2,Yellow – Moderate,Not familiar
615,48,Male,High school,"Upto to $99,999",Good,Common,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
616,64,Male,College,"Upto to $49,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
617,41,Male,Associates degree,"Upto to $99,999",Excellent,Daily,2,Red – Unhealthy,Maroon – Hazardous
618,68,Female,College,"$100,000 or more",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
619,19,Male,8th grade or less,"$100,000 or more",Good,No Response,2,Red – Unhealthy,Purple – Very Unhealthy
620,21,Male,High school,"Upto to $49,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
621,50,Female,Associates degree,"Upto to $74,999",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
622,20,Male,High school,"$100,000 or more",Good,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
623,24,Male,College,"$25,000 or less",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
624,23,Female,8th grade or less,"$25,000 or less",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
625,19,Male,8th grade or less,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
626,40,Female,Associates degree,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
627,69,Female,Associates degree,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
628,65,Male,College,"Upto to $74,999",Good,Once per week,6,Red – Unhealthy,Red – Unhealthy
629,21,Male,High school,"Upto to $74,999",Good,Common,1,Red – Unhealthy,Red – Unhealthy
630,58,Male,College,"Upto to $99,999",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
631,62,Male,College,"Upto to $99,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
632,20,Male,High school,"Upto to $99,999",Good,A few times per week,2,Not familiar,Not familiar
633,42,Female,Associates degree,"$100,000 or more",Good,Daily,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
634,21,Male,High school,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
635,19,Male,8th grade or less,"Upto to $49,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
636,44,Male,College,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
637,25,Male,College,"Upto to $49,999",Fair,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
638,26,Female,High school,"Upto to $49,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
639,45,Male,Associates degree,"$100,000 or more",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
640,53,Male,Associates degree,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
641,51,Male,College,"Upto to $99,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
642,32,Male,College,"Upto to $49,999",Excellent,Once per week,2,Red – Unhealthy,Purple – Very Unhealthy
643,18,Male,High school,"Upto to $99,999",Good,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
644,59,Male,College,No Response,Good,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
645,37,Male,Associates degree,"Upto to $49,999",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
646,29,Male,College,"Upto to $99,999",Excellent,A few times per week,4,Red – Unhealthy,Purple – Very Unhealthy
647,23,Male,High school graduate,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
648,28,Female,Associates degree,"$25,000 or less",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
649,48,Male,Associates degree,"Upto to $74,999",Good,A few times per week,6,Yellow – Moderate,Yellow – Moderate
650,42,Female,Associates degree,"$100,000 or more",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
651,51,Male,Associates degree,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
652,35,Female,Associates degree,"Upto to $99,999",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
653,18,Male,High school,"$25,000 or less",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
654,30,Female,High school graduate,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
655,35,Male,College,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
656,34,Female,College,"Upto to $74,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
657,30,Female,College,"Upto to $74,999",Good,No Response,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
658,43,Male,Associates degree,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
659,19,Female,8th grade or less,"Upto to $49,999",Fair,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
660,32,Male,Associates degree,"Upto to $74,999",Excellent,Daily,4,Red – Unhealthy,Red – Unhealthy
661,21,Male,High school,"Upto to $74,999",Excellent,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
662,42,Male,Associates degree,"Upto to $99,999",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
663,23,Female,High school,"$25,000 or less",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
664,43,Female,Associates degree,"Upto to $74,999",Good,A few times per week,2,Purple – Very Unhealthy,Maroon – Hazardous
665,21,Male,High school,"Upto to $74,999",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
667,24,Female,High school,"$25,000 or less",Good,No Response,1,Not familiar,Not familiar
668,45,Male,College,"Upto to $99,999",Good,Daily,4,Red – Unhealthy,Red – Unhealthy
669,18,Male,8th grade or less,"$100,000 or more",Fair,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
670,25,Male,College,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
671,47,Male,College,"Upto to $49,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
672,50,Male,High school graduate,"Upto to $74,999",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
673,20,Female,High school,"$100,000 or more",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
674,20,Male,High school,"$100,000 or more",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
675,41,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
676,56,Female,Associates degree,"$100,000 or more",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
677,53,Male,College,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
678,23,Female,High school,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
679,18,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
680,56,Female,Associates degree,"$100,000 or more",Good,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
681,53,Male,College,"Upto to $49,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
682,22,Female,High school,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
683,22,Female,High school,"$25,000 or less",Fair,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
684,19,Male,8th grade or less,"$100,000 or more",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
685,36,Male,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
686,19,Male,High school,"$25,000 or less",Fair,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
687,61,Male,Associates degree,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
688,45,Male,College,"Upto to $49,999",Fair,No Response,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
689,62,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
690,18,Male,8th grade or less,"$25,000 or less",Good,Common,2,Red – Unhealthy,Purple – Very Unhealthy
